source,url,title,price_raw,price_value,currency,make,model,trim,year,mileage_raw,mileage_km,engine_raw,engine_cc,fuel,transmission,drive,body_type,color,steering,doors,seats,stock_no,chassis_no,location,scraped_at_utc
beforward,https://www.beforward.jp/support/help-center/create-an-account,BE FORWARD Support: How to Sign Up | BE FORWARD,"Under $500 $500 - $1,000 $1,000 - $1,500 $1,500 - $2,000 $2,000 - $2,500 $2,500 - $4,000 Over $4,000",500.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,HELP CENTER,,2011,,,Account Information Consignee Information Remitter Information Check your Deposit Language Preferences Update your Password Favorites Notify Me Save Search,,,,,,,,,,,,"Japan (307,645) Korea (197,964) Thailand (7,091) United Kingdom (8,966) Singapore (2,892) UAE (3,940) South Africa (93) Taiwan (1,409) Australia (1,872) Philippines (310) Belgium (639)",2026-05-17T20:16:07.791831+00:00
beforward,https://www.beforward.jp/support/help-center/reset-my-password,BE FORWARD Support: How to Update Password | BE FORWARD,"Under $500 $500 - $1,000 $1,000 - $1,500 $1,500 - $2,000 $2,000 - $2,500 $2,500 - $4,000 Over $4,000",500.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,HELP CENTER,,2011,,,Account Information Consignee Information Remitter Information Check your Deposit Language Preferences Update your Password Favorites Notify Me Save Search,,,,,,,,,,,,"Japan (307,645) Korea (197,964) Thailand (7,091) United Kingdom (8,966) Singapore (2,892) UAE (3,940) South Africa (93) Taiwan (1,409) Australia (1,872) Philippines (310) Belgium (639)",2026-05-17T20:16:10.105263+00:00
beforward,https://www.beforward.jp/support/help-center/edit-my-password,BE FORWARD Support: How to Edit Password | BE FORWARD,"Under $500 $500 - $1,000 $1,000 - $1,500 $1,500 - $2,000 $2,000 - $2,500 $2,500 - $4,000 Over $4,000",500.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,HELP CENTER,,2011,,,Account Information Consignee Information Remitter Information Check your Deposit Language Preferences Update your Password Favorites Notify Me Save Search,,,,,,,,,,,,"Japan (307,645) Korea (197,964) Thailand (7,091) United Kingdom (8,966) Singapore (2,892) UAE (3,940) South Africa (93) Taiwan (1,409) Australia (1,872) Philippines (310) Belgium (639)",2026-05-17T20:16:12.424658+00:00
beforward,https://www.beforward.jp/toyota/alphard/cd058878/id/15010299/,BE FORWARD : 2021 TOYOTA Alphard,22590,22590.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3BA-AGH30W,,2021,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Black,Right,5,,CD058878,AGH30-9021889,KYUSHU,2026-05-17T20:16:16.447046+00:00
beforward,https://www.beforward.jp/toyota/alphard/cd058901/id/15010322/,BE FORWARD : 2020 TOYOTA Alphard,21560,21560.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3BA-AGH30W,,2020,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Pearl,Right,5,,CD058901,AGH30-0324669,KYUSHU,2026-05-17T20:16:20.541063+00:00
beforward,https://www.beforward.jp/toyota/alphard/cd253203/id/15205704/,BE FORWARD : 2020 TOYOTA Alphard,26400,26400.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3BA-AGH30W,,2020,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Pearl,Right,5,,CD253203,AGH30-0311347,YOKOHAMA,2026-05-17T20:16:24.345889+00:00
beforward,https://www.beforward.jp/toyota/alphard/cd253245/id/15205746/,BE FORWARD : 2020 TOYOTA Alphard,19870,19870.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,AGH30W,,2020,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Gray,Right,5,,CD253245,AGH30-0329584,NAGOYA,2026-05-17T20:16:28.182644+00:00
beforward,https://www.beforward.jp/toyota/alphard/cd253392/id/15205893/,BE FORWARD : 2019 TOYOTA Alphard,25890,25890.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,DBA-AGH30W,,2019,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Pearl,Right,5,,CD253392,AGH30-0257467,KOBE,2026-05-17T20:16:32.031923+00:00
beforward,https://www.beforward.jp/toyota/alphard-hybrid/cd253221/id/15205722/,BE FORWARD : 2023 TOYOTA Alphard Hybrid,35200,35200.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,6AA-AAHH40W,,2023,Year,,Trans.,,Hybrid(Petrol),Automatic,2wheel drive,,Pearl,Right,5,,CD253221,AAHH40-0007104,KYUSHU,2026-05-17T20:16:35.899031+00:00
beforward,https://www.beforward.jp/toyota/alphard-hybrid/cd253239/id/15205740/,BE FORWARD : 2013 TOYOTA Alphard Hybrid,8080,8080.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,DAA-ATH20W,,2013,Year,,Trans.,,Hybrid(Petrol),Automatic,4wheel drive,,Black,Right,5,,CD253239,ATH20-8031349,YOKOHAMA,2026-05-17T20:16:39.587118+00:00
beforward,https://www.beforward.jp/toyota/alphard-hybrid/cd253346/id/15205847/,BE FORWARD : 2025 TOYOTA Alphard Hybrid,36280,36280.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,6AA-AAHH45W,,2025,Year,,Trans.,,Hybrid(Petrol),Automatic,4wheel drive,,Pearl,Right,5,,CD253346,AAHH45-0038811,YOKOHAMA,2026-05-17T20:16:43.289770+00:00
beforward,https://www.beforward.jp/toyota/alphard-hybrid/cd253364/id/15205865/,BE FORWARD : 2026 TOYOTA Alphard Hybrid,49210,49210.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,6AA-AAHH45W,,2026,Year,,Trans.,,Hybrid(Petrol),Automatic,4wheel drive,,Black,Right,5,,CD253364,AAHH45-0065407,HOKKAIDO,2026-05-17T20:16:46.943845+00:00
beforward,https://www.beforward.jp/toyota/auris/cd253372/id/15205873/,BE FORWARD : 2010 TOYOTA Auris,4640,4640.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,NZE151H,,2010,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Pearl,Right,5,,CD253372,NZE151-1072668,KOBE,2026-05-17T20:16:50.643765+00:00
beforward,https://www.beforward.jp/toyota/camry/cc371157/id/14390058/,BE FORWARD : 2017 TOYOTA Camry,12050,12050.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,DAA-AXVH70,,2017,Year,,Trans.,,Hybrid(Petrol),Automatic,2wheel drive,,Pearl,Right,4,,CC371157,AXVH70-1009609,NAGOYA,2026-05-17T20:16:54.320975+00:00
beforward,https://www.beforward.jp/toyota/crown-hybrid/cd131712/id/15083950/,BE FORWARD : 2020 TOYOTA Crown Hybrid,23120,23120.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,6AA-AZSH20,,2020,Year,,Trans.,,Hybrid(Petrol),Automatic,2wheel drive,,Pearl,Right,5,,CD131712,AZSH20-1064750,YOKOHAMA,2026-05-17T20:17:01.870841+00:00
beforward,https://www.beforward.jp/toyota/crown-hybrid/cd253205/id/15205706/,BE FORWARD : 2020 TOYOTA Crown Hybrid,15790,15790.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,6AA-AZSH20,,2020,Year,,Trans.,,Hybrid(Petrol),Automatic,2wheel drive,,Pearl,Right,4,,CD253205,AZSH20-1059794,KYOTO,2026-05-17T20:17:05.682731+00:00
beforward,https://www.beforward.jp/toyota/crown-hybrid/cd253277/id/15205778/,BE FORWARD : 2015 TOYOTA Crown Hybrid,15270,15270.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,AWS210,,2015,Year,,Trans.,,Hybrid(Petrol),Automatic,2wheel drive,,Pearl,Right,5,,CD253277,AWS210-6090699,KYUSHU,2026-05-17T20:17:09.351327+00:00
beforward,https://www.beforward.jp/toyota/crown-hybrid/cd253347/id/15205848/,BE FORWARD : 2018 TOYOTA Crown Hybrid,23780,23780.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,6AA-AZSH21,,2018,Year,,Trans.,,Hybrid(Petrol),Automatic,4wheel drive,,Pearl,Right,5,,CD253347,AZSH21-1001987,HOKKAIDO,2026-05-17T20:17:13.149744+00:00
beforward,https://www.beforward.jp/toyota/harrier/cd200553/id/15153605/,BE FORWARD : 2019 TOYOTA Harrier,11930,11930.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,DBA-ZSU60W,,2019,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Pearl,Right,5,,CD200553,ZSU60-0168654,YOKOHAMA,2026-05-17T20:17:16.808863+00:00
beforward,https://www.beforward.jp/toyota/harrier/cd253223/id/15205724/,BE FORWARD : 2021 TOYOTA Harrier,21860,21860.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,MXUA80,,2021,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Pearl,Right,5,,CD253223,MXUA80-0037246,KOBE,2026-05-17T20:17:20.649613+00:00
beforward,https://www.beforward.jp/toyota/harrier/cd253367/id/15205868/,BE FORWARD : 2017 TOYOTA Harrier,14140,14140.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,DBA-ZSU60W,,2017,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Pearl,Right,5,,CD253367,ZSU60-0139859,KYUSHU,2026-05-17T20:17:24.651410+00:00
beforward,https://www.beforward.jp/toyota/harrier/cd253376/id/15205877/,BE FORWARD : 2019 TOYOTA Harrier,16560,16560.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,DBA-ZSU60W,,2019,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Black,Right,5,,CD253376,ZSU60-0175096,KYUSHU,2026-05-17T20:17:28.352210+00:00
beforward,https://www.beforward.jp/toyota/harrier/cd253386/id/15205887/,BE FORWARD : 2021 TOYOTA Harrier,16340,16340.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,6BA-MXUA85,,2021,Year,,Trans.,,Petrol,Automatic,4wheel drive,,Black,Right,5,,CD253386,MXUA85-0008533,YOKOHAMA,2026-05-17T20:17:31.992862+00:00
beforward,https://www.beforward.jp/toyota/harrier/cd253407/id/15205908/,BE FORWARD : 2015 TOYOTA Harrier,11690,11690.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,ZSU60W,,2015,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Black,Right,5,,CD253407,ZSU60-0061154,KYOTO,2026-05-17T20:17:35.943109+00:00
beforward,https://www.beforward.jp/toyota/harrier-hybrid/cd253217/id/15205718/,BE FORWARD : 2021 TOYOTA Harrier Hybrid,22980,22980.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,6AA-AXUH85,,2021,Year,,Trans.,,Hybrid(Petrol),Automatic,4wheel drive,,Pearl,Right,5,,CD253217,AXUH85-0016643,YOKOHAMA,2026-05-17T20:17:41.658272+00:00
beforward,https://www.beforward.jp/toyota/harrier-hybrid/cd253374/id/15205875/,BE FORWARD : 2018 TOYOTA Harrier Hybrid,18610,18610.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,DAA-AVU65W,,2018,Year,,Trans.,,Hybrid(Petrol),Automatic,4wheel drive,,Black,Right,5,,CD253374,AVU65-0060720,HOKKAIDO,2026-05-17T20:17:45.769919+00:00
beforward,https://www.beforward.jp/toyota/hiace-wagon/cd253185/id/15205686/,BE FORWARD : 2021 TOYOTA Hiace Wagon,22480,22480.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3BA-TRH214W,,2021,Year,,Trans.,,Petrol,Automatic,2wheel drive,,Silver,Right,4,,CD253185,TRH214-0064171,YOKOHAMA,2026-05-17T20:17:52.831297+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253834/id/15206337/,BE FORWARD : 2012 TOYOTA Hilux,14170,14170.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2012,Year,,Trans.,,Diesel,Manual,4wheel drive,,Blue,Right,4,5,CD253834,AHT85782,UNITED KINGDOM,2026-05-17T20:17:57.315962+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253835/id/15206338/,BE FORWARD : 2012 TOYOTA Hilux,8670,8670.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2012,Year,,Trans.,,Diesel,Manual,4wheel drive,,Black,Right,4,5,CD253835,AHT85783,UNITED KINGDOM,2026-05-17T20:18:01.192044+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253836/id/15206339/,BE FORWARD : 2018 TOYOTA Hilux,35270,35270.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2018,Year,,Trans.,,Diesel,Automatic,4wheel drive,,Black,Right,4,5,CD253836,AHT85784,UNITED KINGDOM,2026-05-17T20:18:05.116557+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253837/id/15206340/,BE FORWARD : 2017 TOYOTA Hilux,18650,18650.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2017,Year,,Trans.,,Diesel,Manual,4wheel drive,,White,Right,4,5,CD253837,AHT85785,UNITED KINGDOM,2026-05-17T20:18:08.731535+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253838/id/15206341/,BE FORWARD : 2018 TOYOTA Hilux,31300,31300.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2018,Year,,Trans.,,Diesel,Automatic,4wheel drive,,Gray,Right,4,5,CD253838,AHT85786,UNITED KINGDOM,2026-05-17T20:18:12.575051+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253839/id/15206342/,BE FORWARD : 2018 TOYOTA Hilux,13160,13160.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2018,Year,,Trans.,,Diesel,Manual,4wheel drive,,White,Right,4,5,CD253839,AHT85787,UNITED KINGDOM,2026-05-17T20:18:16.371769+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253840/id/15206343/,BE FORWARD : 2018 TOYOTA Hilux,30400,30400.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2018,Year,,Trans.,,Diesel,Manual,4wheel drive,,Blue,Right,4,5,CD253840,AHT85788,UNITED KINGDOM,2026-05-17T20:18:20.505529+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253841/id/15206344/,BE FORWARD : 2003 TOYOTA Hilux,8030,8030.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2003,Year,,Trans.,,Diesel,Manual,4wheel drive,,White,Right,4,5,CD253841,AHT85789,UNITED KINGDOM,2026-05-17T20:18:24.605699+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253842/id/15206345/,BE FORWARD : 2005 TOYOTA Hilux,10490,10490.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2005,Year,,Trans.,,Diesel,Manual,4wheel drive,,White,Right,4,5,CD253842,AHT85790,UNITED KINGDOM,2026-05-17T20:18:28.848222+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253843/id/15206346/,BE FORWARD : 2018 TOYOTA Hilux,32970,32970.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2018,Year,,Trans.,,Diesel,Manual,4wheel drive,,Gray,Right,4,5,CD253843,AHT85791,UNITED KINGDOM,2026-05-17T20:18:33.084927+00:00
beforward,https://www.beforward.jp/toyota/hilux/cd253844/id/15206347/,BE FORWARD : 2017 TOYOTA Hilux,29000,29000.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2017,Year,,Trans.,,Diesel,Automatic,4wheel drive,,Blue,Right,4,5,CD253844,AHT85792,UNITED KINGDOM,2026-05-17T20:18:37.153775+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser/cd253371/id/15205872/,BE FORWARD : 2024 TOYOTA Land Cruiser,36800,36800.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3BA-TRJ250W,,2024,Year,,Trans.,,Petrol,Automatic,4wheel drive,,Pearl,Right,5,,CD253371,TRJ250-0009987,KYUSHU,2026-05-17T20:18:41.168425+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser/cd253399/id/15205900/,BE FORWARD : 2025 TOYOTA Land Cruiser,37690,37690.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3BA-TRJ250W,,2025,Year,,Trans.,,Petrol,Automatic,4wheel drive,,Pearl,Right,5,,CD253399,TRJ250-0019278,NAGOYA,2026-05-17T20:18:45.070021+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser/cd253701/id/15206202/,BE FORWARD : 2002 TOYOTA Land Cruiser,13450,13450.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2002,Year,,Trans.,,Diesel,Automatic,4wheel drive,,Silver,Right,5,8,CD253701,AHT1395081,UNITED KINGDOM,2026-05-17T20:18:49.381139+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser/cd253703/id/15206204/,BE FORWARD : 2004 TOYOTA Land Cruiser,15610,15610.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2004,Year,,Trans.,,Petrol,Automatic,4wheel drive,,Gold,Right,5,8,CD253703,AHT1395082,UNITED KINGDOM,2026-05-17T20:18:53.577364+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser/cd253706/id/15206207/,BE FORWARD : 2012 TOYOTA Land Cruiser,29050,29050.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,-,,2012,Year,,Trans.,,Diesel,Automatic,4wheel drive,,Black,Right,5,7,CD253706,AHT1395083,UNITED KINGDOM,2026-05-17T20:18:57.722907+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser/cd253898/id/15206401/,BE FORWARD : 2024 TOYOTA Land Cruiser,48470,48470.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3DA-GDJ250W,,2024,Year,,Trans.,,Diesel,Automatic,4wheel drive,,White,Right,5,7,CD253898,GDJ250-0010168,OSAKA,2026-05-17T20:19:01.724469+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser-prado/cd253233/id/15205734/,BE FORWARD : 2021 TOYOTA Land Cruiser Prado,26790,26790.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3DA-GDJ150W,,2021,Year,,Trans.,,Diesel,Automatic,4wheel drive,,Black,Right,5,,CD253233,GDJ150-0066080,TOYAMA,2026-05-17T20:19:05.716888+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser-prado/cd253244/id/15205745/,BE FORWARD : 2021 TOYOTA Land Cruiser Prado,28080,28080.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,3BA-TRJ150W,,2021,Year,,Trans.,,Petrol,Automatic,4wheel drive,,Black,Right,5,,CD253244,TRJ150-0137613,NAGOYA,2026-05-17T20:19:09.612533+00:00
beforward,https://www.beforward.jp/toyota/land-cruiser-prado/cd253365/id/15205866/,BE FORWARD : 2018 TOYOTA Land Cruiser Prado,24200,24200.0,USD,TOYOTA NISSAN HONDA MAZDA MITSUBISHI SUBARU SUZUKI ISUZU DAIHATSU HINO LEXUS,CBA-TRJ150W,,2018,Year,,Trans.,,Petrol,Automatic,4wheel drive,,Black,Right,5,,CD253365,TRJ150-0085067,HOKKAIDO,2026-05-17T20:19:13.446359+00:00
